"expediente","producto","titular","registrosanitario","fechaexpedicion","fechavencimiento","estadoregistro","expedientecum","consecutivocum","cantidadcum","descripcioncomercial","estadocum","fechaactivo","fechainactivo","muestramedica","unidad","atc","descripcionatc","viaadministracion","concentracion","principioactivo","unidadmedida","cantidad","unidadreferencia","formafarmaceutica","nombrerol","tiporol","modalidad","IUM","preciocompra","precioventa"
"10815","FLUOXETINA 20 MG CÁPSULAS","GENFAR S.A.","INVIMA 2022M-005627-R3","1996-09-26",,"Vigente","10815","1","10","CAJA POR 10 CÁPSULAS EN BLÍSTER PVC TRANSPARENTE / ALUMINIO POR 10 CÁPSULAS CADA UNO.","Activo","2006-11-10",,"No","U","N06AB03","FLUOXETINA","ORAL","A","FLUOXETINA CLORHIDRATO EQUIVALENTE A FLUOXETINA BASE","No","20","CADA CAPSULA DE GELATINA DURA CONTIENE","CAPSULA DURA","FAREVA VILLA RICA S.A.S.","FABRICANTE","FABRICAR Y VENDER",,"1408","3003"
"11416","HALOPERIDOL 10 MG TABLETAS RECUBIERTAS","MEMPHIS PRODUCTS S.A.","INVIMA 2016M-002423-R2","1995-07-15",,"Vigente","11416","2","20","CAJA POR 20 TABLETAS RECUBIERTAS EN BLISTER PVC TRANSPARENTE/ALUMINIO POR 10 TABLETAS CADA UNO.","Activo","2006-11-10",,"No","U","N05AD01","HALOPERIDOL","ORAL","A","HALOPERIDOL","No","10","TABLETA RECUBIERTA","TABLETA RECUBIERTA","COLOMPACK S.A.","FABRICANTE","FABRICAR Y VENDER",,"1145","2386"
"11878","TIOPENTAL 1 G. I V . POLVO PARA SOLUCIÓNINYECTABLE.","FEPARVI S.A.S.","INVIMA 2021M-005982-R2","1996-11-23",,"Vigente","11878","3","1","VIAL DE VIDRIO POR 1 GRAMO TRANSPARENTE DE VIDRIOSIN DATOTIPO III.SIN DATOCON TAPON DE BROMOBUTILO CUBIERTO POR FLUOROPOLIMERO","Activo","2018-09-03",,"No","U","N01AF03","TIOPENTAL","INTRAVENOSA","A","TIOPENTAL SODICO","No","1","CADAVIAL","POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE","FEPARVI S.A.S.","IMPORTADOR","IMPORTAR Y VENDER",,"12684","29596"
"19513","TRAMAL ® GOTAS","GRUNENTHAL GMBH","INVIMA 2014M-007195-R3","1999-01-01",,"Vigente","19513","2","1","CAJA PLEGADIZA CONSIN DATOFRASCO DE VIDRIO AMBAR TIPOSIN DATOIII. CON CUENTA GOTAS DE POLIETILENO DE BAJA DENSIDAD Y TAPA BLANCA DE POLIPROPILENO (EXTERNO)SIN DATOY POLIETILENO (INTERNO) POR 10ML","Activo","2006-11-10",,"No","U","N02AX02","TRAMADOL","ORAL","C","TRAMADOL CLORHIDRATO","No","100","ML","SOLUCION ORAL","GRUNENTHAL COLOMBIANA S.A.","IMPORTADOR","IMPORTAR Y VENDER",,"4993","10540"
"7025","GAMADERM®CHAMPU","LABORATORIOS SIEGFRIED S.A.S.","INVIMA 2017M- 004098-R2","1996-02-09",,"Vigente","7025","1","1","CAJA POR UN FRASCO DE PEAD COLOR NATURAL. TAPA FLIP TOP BLANCA X 60 ML.","Activo","2006-11-10",,"No","U","P03AC04","PERMETRINA","TOPICA (EXTERNA)","B","PERMETRINA","No","1","100 ML","EMULSION (CHAMPOO)","COASPHARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",,"5619","9552"
"23439","METRONIDAZOL ECAR 500MG TABLETAS","LABORATORIOS ECAR S.A.","INVIMA 2021M-007158-R3","1999-01-01",,"Vigente","23439","1","50","CAJA X 50 TABLETAS EN BLISTER X 10 TABLETAS CADA UNO","Activo","2006-11-10",,"No","U","P01AB01","METRONIDAZOL","ORAL","A","METRONIDAZOL BASE","No","500","TABLETA","TABLETA","LABORATORIOS ECAR S.A.","FABRICANTE","FABRICAR Y VENDER",,"1189","2476"
"25796","PAMOATO DE PIRANTEL SUSPENSION 250 MG/5 ML","GENFAR S.A.","INVIMA 2021M-008265-R4","1995-06-29","3000-01-01","Vigente","25796","2","1","FRASCO PEAD X 15 ML + TAPA EN POLIPROPILENO Y BANDA DE SEGURIDAD","Activo","2021-06-23",,"No","U","P02CC01","PIRANTEL","ORAL","B","PAMOATO DE PIRANTELEQUIVALENTE A PIRANTEL BASE","No","5","100 ML DE SUSPENSIÓN","SUSPENSION ORAL","GENFAR DESARROLLO Y MANUFACTURA S.A.","FABRICANTE","FABRICAR Y VENDER",,"9470","21930"
"36615","METROZIN 500 MG CAPSULAS","LABORATORIOS SIEGFRIED S.A.S.","INVIMA 2017M-003068-R4","1990-12-03",,"Vigente","36615","3","50","CAJA POR 50 CÁPSULAS EN EMPAQUE INDIVIDUAL TIPO BLISTER PVC TRANSPARENTE/FOIL ALUMINIO POR 10 CÁPSULAS BLANDAS C/U.","Activo","2011-05-17",,"No","U","P01AB01","METRONIDAZOL","ORAL","A","METRONIDAZOL BASE","No","500","CAPSULA BLANDA","CAPSULA BLANDA","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",,"1588","3387"
"3521","ALERCET ® JARABE","PROCAPS S.A.","INVIMA 2021M-002103-R3","1999-12-20",,"Vigente","3521","3","1","CAJA CON UN FRASCO DE VIDRIO ÁMBAR TIPO III PORSIN DATO30 ML CONSIN DATOTAPA BLANCA DE ALUMINIO TIPO PILFER PROOF 24MM CONSIN DATOSELLO INTERNO Y CUCHARA DOSIFICADORA.","Activo","2011-02-08",,"No","U","R06AE07","CETIRIZINA","ORAL","B","CETIRIZINA DICLORHIDRATO","No","100","100 ML DE JARABE","JARABE","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",,"8162","18874"
"5581","BRONCHO-VAXOM®CAPSULAS ADULTOS","OM PHARMA SA","INVIMA 2023MB-007838-R4","1999-01-01",,"Vigente","5581","5","10","CAJA POR 10 CÁPSULAS EN BLISTER ALUMINIO/ALUMINIO","Activo","2016-02-04",,"No","U","R07AX03","OTROS PRODUCTOS PARA EL SISTEMA RESPIRATORIO","ORAL","S","LISADOS BACTERIANOS LIOFILIZADOS DE HAEMOPHILUS INFLUENZAE. STREPTOCOCCUS (DIPLOCOCCUS) PNEUMONIAE. KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE Y SSP OZAENAE. STAPHYLOCOCCUS AUREUS. STREPTOCOCCUS PYOGENES Y SANGUINIS (VIRIDANS). MORAXELLA (BRANHAMELLA/NEISSERIA) CATARRHALIS.","No","7","CAPSULA","CAPSULA DURA","AXON PHARMA S.A.S.","IMPORTADOR","IMPORTAR Y VENDER",,"1318","2813"
"9716","B-CORT ® 50","GRÜNENTHAL COLOMBIANA S.A.","INVIMA 2023M-004471-R3","1996-03-14",,"Vigente","9716","3","1","CAJA X 1 FRASCO DE ALU TRATADO EN SU SUPERFICIE CON PLASMA FCP (FLUOROCARBON POLYMER X 10 ML. CON VÁLVULA DOSIFICADORA Y UN ADAPTADOR BUCAL EN PPSIN DATOX 200 DOSIS","Activo","2019-12-18",,"No","U","R03BA02","BUDESONIDA","BUCAL","A","BUDESONIDA MICRONIZADA","No","50","ACTUACIÓN (DOSIS)","AEROSOLES","GRÜNENTHAL COLOMBIANA S.A.","IMPORTADOR","IMPORTAR Y VENDER",,"36968","82386"
"16779","AMBROXOL15 MG/ 5ML SOLUCIÓN ORAL","TECNOFAR TQ S.A.S","INVIMA 2022M-08866-R3","1999-01-01",,"Vigente","16779","1","1","FRASCO DESIN DATOVIDRIO X 120 MLSIN DATOTIPO III.SIN DATOCOLOR ÁMBAR. CONSIN DATOTAPASIN DATOALUSUD 28MMSIN DATOENSIN DATOPOLIPROPILENO BLANCOSIN DATOCONSIN DATOANILLO DE SEGURIDADSIN DATOY LINER EVA AZUL","Activo","2006-11-10",,"No","U","R05CB06","AMBROXOL","ORAL","B","AMBROXOL CLORHIDRATO","No","300","100 ML DE SOLUCIÓN ORAL","SOLUCION ORAL","TECNOFAR TQ S.A.S","FABRICANTE","FABRICAR Y VENDER",,"4156","8773"
"22231","TEARS NATURALE® SOLUCION OFTALMICA ESTERIL","ALCON LABORATORIES INC","INVIMA 2008 M- 007104 R-2","1999-01-01",,"Vigente","22231","3","15","CAJA CON FRASCO GOTERO EN POLIETILENO DE BAJA DENSIDAD POR 15 ML","Activo","2006-11-10",,"No","ml","S01XA20","LAGRIMAS ARTIFICIALES Y OTRAS PREPARACIONES INDIFERENTES","CONJUNTIVAL","C","DEXTRAN 70","No","1","1 ML.","SOLUCION OFTALMICA","ALCON LABORATORIES INC - ASPEX","FABRICANTE","IMPORTAR Y VENDER",,"4704","9931"
"23891","MIOSTAT","ALCON LABORATORIES INC.","INVIMA 2015 M-007598-R3","1995-07-02",,"Vigente","23891","1","18","CAJA POR 12 BLISTER CADA UNO CON UN FRASCO VIAL DE 1.5 ML.","Activo","2006-11-10",,"No","ml","S01EB02","CARBACOL","INTRAOCULAR","A","CARBACOL","No","0.15","VIAL DE 1.5 ML","SOLUCION INYECTABLE","ALCON LABORATORIES INC.","FABRICANTE","IMPORTAR Y VENDER",,"13010","30357"
"30620","MAXITROL® SUSPENSION OFTALMICA ESTÉRIL","NOVARTIS PHARMA AG","INVIMA 2008M-001074-R3","1999-03-07","2099-01-01","Vigente","30620","1","5","CAJA DE CARTON PVP MÁS UN FRASCO GOTERO DE PEBD Y TAPA DE POLIPROPILENO POR 5 ML.","Activo","2006-11-10",,"No","ml","S01AA20","ANTIBIOTICOS EN COMBINACION CON OTROS F RMACOS","CONJUNTIVAL","C","DEXAMETASONA","No","1","ML DE SUSPENSIÓN OFTÁLMICA ESTÉRIL","SUSPENSION OFTALMICA","NOVARTIS DE COLOMBIA S.A.","IMPORTADOR","IMPORTAR Y VENDER",,"9685","22429"
"32869","VIREX® UNGÜENTO OFTÁLMICO ESTÉRIL","EUROFARMA COLOMBIA S.A.S.","INVIMA 2021 M-010494-R3","1999-05-29",,"Vigente","32869","1","1","CAJA PLEGABLE CARTULINA TUBO COLAPSIBLE ALUMINIO POR 10 G","Activo","2006-11-10",,"No","U","S01AD03","ACICLOVIR","TÓPICA OCULAR","D","ACICLOVIR","No","3","CADA 100G","UNGUENTO OFTALMICO","ARBOFARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",,"5397","9175"
"16436","DESFERAL® 0.5 G VIAL","NOVARTIS PHARMA A.G.","INVIMA 2023M-06069-R4","1999-12-25",,"Vigente","16436","1","10","CAJA POR 10 VIALES VIAL DE VIDRIO TIPO 1 DE 7.5ML CON TAPÓN DE BROMOBUTILO GRIS Y BROMOBUTILO SILICONIZADO GRIS CLARO SELLADO CON AGRAFE DE ALUMINIO Y TAPA PLASTICA. CON 500MG DE SUSTANCIASIN DATOSECA.","Activo","2006-11-10",,"No","U","V03AC01","DEFEROXAMINA","PARENTERAL","A","DEFEROXAMINA METANOSULFONATO","No","500","VIAL","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE","NOVARTIS DE COLOMBIA S.A.","IMPORTADOR","IMPORTAR Y VENDER",,"12304","28710"
"22501","AGUA ESTÉRIL","LABORATORIOS MEDIFARMA S.A.S","INVIMA 2019M-007522-R3","1996-08-09",,"Vigente","22501","5","50","AMPOLLA DE POLIETILENO ATOXICO DE BAJA DENSIDAD POR 10 ML EN CAJA DE CARTÓN LISA POR 50 UNIDADES","Activo","2007-01-26","2019-12-09","No","U","V07ABX1","AGUA ESTERIL","PARENTERAL","C","AGUA GRADO INYECTABLE U.S.P. C.S.P.","No","100","100 ML","LIQUIDO ESTERIL PARA INYECCION (AGUA)","LABORATORIOS MEDIFARMA S.A.S.","FABRICANTE","FABRICAR Y VENDER",,"4982","8469"
"34342","MD- GASTROVIEW® (MEDIO DE CONTRASTE PARA RADIOGRAFIA)","LIEBEL - FLARSHEIM COMPANY LLC","INVIMA 2019M-011174-R2","1999-07-06",,"Vigente","34342","3","30","FRASCO DE VIDRIO AMBAR TIPO III POR 30ML","Activo","2008-04-27",,"No","ml","V08AA99","COMBINACIONES MEDIOS DE CONTRASTE PARA RAYOS X DE ALTA OSMOLARIDAD","ORAL","C","ÁCIDO DIATRIZOICO EQUIVALENTE A SODIO DIATRIZOATO","No","100","ML DE SOLUCIÓN ORAL","SOLUCION ORAL","GUERBET COLOMBIA S.A.S.","IMPORTADOR","IMPORTAR Y VENDER",,"4107","8671"
"49611","E-Z CAT","E-Z EM CANADA INC","INVIMA 2021M-004495-R3","1996-03-17",,"Vigente","49611","1","225","BOTELLASIN DATODE POLIETILENO DE ALTA DENSIDAD NATURAL CON TAPA ROSCA BLANCA EN PP Y SELLO DE ALUMINIO X 225 ML.","Activo","2007-03-05",,"No","ml","V08BA01","BARIO SULFATO CON AGENTESSUSPENDIDOS","ORAL","B","SULFATO DE BARIO","No","4.9224","100 ML","SUSPENSION ORAL","AJOVECO S.A.S","IMPORTADOR","IMPORTAR Y VENDER",,"8583","19877"
